Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,url
170,Eric Gordon,SG,34,LAC,22,11,24.9,3.7,8,0.463,2.1,5,0.423,1.5,2.9,0.531,0.597,1.5,1.7,0.842,0.2,1.5,1.7,2.1,0.6,0.4,1,1.5,11, 19568360,https://wwwhispanosnbacom/jugadores/eric-gordon
225,Bones Hyland,PG,22,LAC,14,0,18.9,3.9,9.8,0.401,1.9,5.3,0.351,2.1,4.5,0.46,0.496,1.1,1.4,0.75,0.7,2.8,3.5,3.4,0.8,0.1,1.1,2.1,10.8, 2201400,https://wwwhispanosnbacom/jugadores/bones-hyland
238,Reggie Jackson,PG,32,LAC,52,38,25.7,4.1,9.8,0.418,1.5,4.2,0.35,2.6,5.6,0.469,0.493,1.2,1.3,0.924,0.4,1.8,2.2,3.5,0.7,0.1,1.8,1.8,10.9, 12133776,https://wwwhispanosnbacom/jugadores/reggie-jackson
264,Luke Kennard,SG,26,LAC,35,11,20.7,2.8,6,0.464,1.7,3.8,0.447,1.1,2.3,0.494,0.604,0.5,0.6,0.95,0.2,2.2,2.4,1.1,0.5,0.1,0.9,1.3,7.8, 14415545,https://wwwhispanosnbacom/jugadores/luke-kennard
288,Kawhi Leonard,SF,31,LAC,52,50,33.6,8.6,16.8,0.512,2,4.8,0.416,6.6,11.9,0.551,0.572,4.7,5.4,0.871,1.1,5.4,6.5,3.9,1.4,0.5,1.7,1.6,23.8, 42492492,https://wwwhispanosnbacom/jugadores/kawhi-leonard
304,Terance Mann,SG,26,LAC,81,36,23.1,3.4,6.5,0.519,1,2.4,0.389,2.4,4,0.598,0.593,1.1,1.5,0.78,1,2.5,3.4,2.3,0.5,0.3,1,1.8,8.8, 1930681,https://wwwhispanosnbacom/jugadores/terance-mann
347,Marcus Morris,PF,33,LAC,65,65,28.1,4.2,9.9,0.426,1.7,4.7,0.364,2.5,5.2,0.484,0.513,1,1.3,0.782,0.4,3.5,4,1.8,0.6,0.3,0.9,2.1,11.2, 16372093,https://wwwhispanosnbacom/jugadores/marcus-morris
385,Mason Plumlee,C,32,LAC,23,4,19.9,2.8,3.8,0.727,0,0,0,2.8,3.8,0.727,0.727,1.9,2.5,0.772,1.8,5.1,6.9,1.7,0.5,0.5,1.3,2.4,7.5, 9080417,https://wwwhispanosnbacom/jugadores/mason-plumlee
396,Norman Powell,SG,29,LAC,60,8,26.1,5.7,11.8,0.479,1.9,4.8,0.397,3.8,7.1,0.534,0.559,3.8,4.6,0.812,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2.1,17, 16758621,https://wwwhispanosnbacom/jugadores/norman-powell
397,Jason Preston,PG,23,LAC,14,0,8.9,1.3,2.9,0.439,0.4,1.3,0.278,0.9,1.6,0.565,0.5,0,0.1,0,0.1,1.4,1.6,1.9,0.1,0,0.7,0.5,2.9, 1563518,https://wwwhispanosnbacom/jugadores/jason-preston
497,John Wall,PG,32,LAC,34,3,22.2,4.1,9.9,0.408,1,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4, 47345760,https://wwwhispanosnbacom/jugadores/john-wall
507,Russell Westbrook,PG,34,LAC,21,21,30.2,6.1,12.5,0.489,1.2,3.5,0.356,4.9,9,0.54,0.538,2.4,3.6,0.658,1.4,3.4,4.9,7.6,1.1,0.5,3.4,2,15.8, 47080179,https://wwwhispanosnbacom/jugadores/russell-westbrook
539,Ivica Zubac,C,25,LAC,76,76,28.6,4.3,6.8,0.634,0,0,0,4.3,6.7,0.637,0.634,2.2,3.1,0.697,3.1,6.8,9.9,1,0.4,1.3,1.5,2.9,10.8, 10123457,https://wwwhispanosnbacom/jugadores/ivica-zubac
17,Deandre Ayton,C,24,PHO,67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3,0.76,2.6,7.4,10,1.7,0.6,0.8,1.8,2.8,18, 30913750,https://wwwhispanosnbacom/jugadores/deandre-ayton
34,Darius Bazley,PF,22,PHO,7,0,8.7,1.7,3.6,0.48,0.3,1.1,0.25,1.4,2.4,0.588,0.52,0.3,0.7,0.4,0.7,1.6,2.3,0.9,0.4,0.7,0.7,1.3,4, 4264629,https://wwwhispanosnbacom/jugadores/darius-bazley
43,Bismack Biyombo,C,30,PHO,61,14,14.3,2,3.4,0.578,0,0,0,2,3.4,0.578,0.578,0.4,1.1,0.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3, 2905851,https://wwwhispanosnbacom/jugadores/bismack-biyombo
49,Devin Booker,SG,26,PHO,53,53,34.6,9.9,20.1,0.494,2.1,6,0.351,7.8,14.2,0.554,0.546,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1,0.3,2.7,3,27.8, 33833400,https://wwwhispanosnbacom/jugadores/devin-booker
